title,images,materiel,size,UNIT COUNT,description,0,1,2,3,4,5,6,7,8,desi,bullet,keywords,audience_keyword,manufacturer,UK ID,AU ID,MX ID,TR ID,AE ID,SG ID,JP ID,CA ID,US ID,IT ID,FR ID,ES ID,PL ID,NL ID,DE ID,BG ID,SE ID
Ceramic Cat Food Bowl - Luxury Ceramic Food and Water Bowl for Pet Home Accessory,11,ceramic,19x19x8,1," Made of ceramic for your pets.
-Food and water bowls will make it easier for your pet to understand that it has its own space.
-Can be used in dry and wet foods.
- Cleaning the bowl regularly is important for your little friend's health.
It will add a different atmosphere to your home with its pattern.
- Suitable for contact with food.
Diameter : 18.5 cm
Height : 8 cm",,65,65,70,,70,83,81,86,1,Made with ceramic.= Clean cut.= Easy to carry.,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Ceramic Dog Bowl - Home Decor Dog Accessory Luxury Ceramic Food and Water Bowl,12,ceramic,19x19x8,1,"Made of ceramic for your pets.
-Food and water bowls will make it easier for your pet to understand that it has its own space.
-Can be used in dry and wet foods.
- Cleaning the bowl regularly is important for your little friend's health.
It will add a different atmosphere to your home with its pattern.
- Suitable for contact with food.
Diameter : 18.5 cm
Height : 8 cm",,65,65,70,,70,83,81,86,1,Does not harm your pet.= Easy to clean.= Suitable for contact with food.,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Paw Dog Black Food Bowl - Home Decoration Dog Accessory Luxury Food and Water Bowl ,130,ceramic,15x15x8,1," Made of ceramic for your pets.
-Food and water bowls will make it easier for your pet to understand that it has its own space.
-Can be used in dry and wet foods.
- Cleaning the bowl regularly is important for your little friend's health.
It will add a different atmosphere to your home with its pattern.
- Suitable for contact with food.
- It is 100% handmade.",,83,83,88,,88,101,99,104,1,It is easy to clean.= Does not harm your pet.= Suitable for contact with food.,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,dog; cat; formula; dog food; water; house; clean; lunch box; front door; garden; woman; pet; animal; pet shop; food; paw; cat fur; dog fur,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Paw Cat Food Container- Home Decoration Cat Accessory Modern Stylish Food and Water Container ,132,ceramic,15x15x8,1,"Made of ceramic for your pets.
-Food and water bowls will make it easier for your pet to understand that it has its own space.
-Can be used in dry and wet foods.
- Cleaning the bowl regularly is important for your little friend's health.
- Suitable for contact with food.
- Hand wash only.",,65,65,70,,70,83,81,86,1,It is an ideal product for your cats.= Easy to carry.= Clean cut.,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Figured Bird Feeder - Bird Accessory Modern Bird Figured Food Container Home Decoration ,7,wooden,14x14x14,1,"Specially designed for your birds.
-Food and water bowls will make it easier for your pet to understand that he has his own space.
-Can be used in dry foods.
- Regular cleaning of the bowl is important for your little friend's health.
- Suitable for contact with food.
Diameter : 13.6 cm
Height : 14.1 cm",,79,79,84,,84,97,95,100,1,You can use it as a bird feeder.= It is made of wood.= It does not harm your pet.,bird; bait; manger; bird food; cage; this; pet Shop; pet; parrot; eagle; cat; dog; house; garden; zoo; animal; woman; male; pet shop,bird; bait; manger; bird food; cage; this; pet Shop; pet; parrot; eagle; cat; dog; house; garden; zoo; animal; woman; male; pet shop,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Hanging Bird Feeder - Bird Accessory Stylish Chained Cage Manger Home Decoration ,8,wooden,30x30x14,1,"Specially designed for your birds.
-It can be hung and is like a cage and prevents the environment from getting dirty.
-Food and water bowls will make it easier for your pet to understand that he has a space of his own.
-Can be used in dry foods.
- Regular cleaning of the bowl is important for your little friend's health.
- Suitable for contact with food.
Diameter : 13.8 cm
Height: 29.5cm",,175,175,181,,181,198,193,200,2,It is easy to clean.= Does not harm your pet.= Suitable for contact with food.,pet shop; bird; bait; manger; bird food; cage; water; pet; parrot; cat; dog; house; garden; zoo; animal; woman; male; bird food; street animals,pet shop; bird; bait; manger; bird food; cage; water; pet; parrot; cat; dog; house; garden; zoo; animal; woman; male; bird food; street animals,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Cone Bird Feeder - Bird Accessory Modern Chain Feeder Home Decoration ,6,metal,16x16x10,1,"Specially designed for your birds.
-It can be hung and is like a cage and prevents the environment from getting dirty.
-Food and water bowls will make it easier for your pet to understand that he has a space of his own.
-Can be used in dry foods.
- Regular cleaning of the bowl is important for your little friend's health.
- Suitable for contact with food.
Diameter : 16.3 cm
Height: 16.3 cm
Height : 9.8 cm",,136,136,141,,141,154,152,157,1,Easy to clean.= Easy to carry.= Clean cut.,bird; bait; manger; bird food; cage; water; pet Shop; pet; parrot; eagle; cat; dog; house; garden; zoo; animal; woman; male; pet shop,bird; bait; manger; bird food; cage; water; pet Shop; pet; parrot; eagle; cat; dog; house; garden; zoo; animal; woman; male; pet shop,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Bird Figured Ceramic Manger - Pet Bird Accessory Modern and Stylish Manger Home Decoration,9,ceramic,30x21x12,1,"It is made of ceramic specially for your birds.
-Food and water bowls will make it easier for your pet to understand that he has a space of his own.
-Can be used in dry and wet foods.
- Regular cleaning of the bowl is important for your little friend's health.
- Suitable for contact with food.
Width: 20.5 cm
Height : 30 cm
Height : 11.8 cm",,131,131,137,,137,154,149,156,2,It is a design product.= Made of ceramic.= Easy to install.,bird; bait; manger; bird food; cage; water; pet; parrot; cat; dog; house; garden; zoo; animal; man; male; pet shop; bird food; street animals,bird; bait; manger; bird food; cage; water; pet; parrot; cat; dog; house; garden; zoo; animal; man; male; pet shop; bird food; street animals,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Wooden Bird Feeder - Pet Bird Accessory Feeder Home Decoration ,10,wooden,22x22x13,1,"It is made of wood specially for your birds.
-Food and water bowls will make it easier for your pet to understand that he has a space of his own.
-Can be used in dry foods.
- Regular cleaning of the bowl is important for your little friend's health.
- Suitable for contact with food.
Height : 21.7 cm
Height : 12.9 cm",,168,168,174,,174,191,186,193,2,You can use it as a bird feeder.= It is made of wood.= It does not harm your pet.,bird; bait; manger; bird food; cage; this; pet Shop; pet; parrot; eagle; cat; dog; house; garden; zoo; animal; woman; male; pet shop,bird; bait; manger; bird food; cage; this; pet Shop; pet; parrot; eagle; cat; dog; house; garden; zoo; animal; woman; male; pet shop,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
Black Wooden Cat Food And Water Bowl- Pet Decoration Modern Decorative Food Container,"148,149,150",wooden,30x20x10,1,"Foot Material It is made of MDF material.
The material thickness is 12 mm.
The food box is 13 cm.
Multi-surface paint is used in the upper surface material.
All parts are sent as assembled.
It is a 2-compartment food bowl for your pet.
It does not harm as it is a clean cut.
It is easy to clean.
Product dimensions are 30x20x10 cm.",,93,93,99,,99,116,111,118,2,It is an ideal product for your cats.= Easy to carry.= Clean cut.,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,cat; dog; lunch box; formula; container; water; animal; pet; nest; clean; dog paw; paw; house; clean; garden; front door; cage; bird; nest; dog house; cat house,eWorldpartner,471302031,,,,,,,,,13370244031,2036594031,13442084031,20855669031,16332649031,470791031,27625289031,20653036031
