title,images,colors,shape,material,size,description,0,1,2,3,4,5,6,7,8,Desi,bullet,keywords,manufacturer,UK ID,AU ID,MX ID,TR ID,AE ID,SG ID,JP ID,CA ID,US item_type_keyword,IT ID,FR ID,ES ID,PL ID,NL ID,DE ID,BG ID,SE ID,item type name
Center Table Chess Stand Bronze - Side Table Living Room Home Decoration Coffee Table,"121,122,123,124,125",bronze,Round,Metal,35x35x56,"It is ergonomic design, light weight, no sharp corners and edges.
It can be used for many years without any problems.
When you obtain our product and examine it closely, you will notice the quality and care.
The size of the product is 35x35x56 cm.",,858,858,894,,894,947,934,983,14,It is a specially designed coffee table. = It can be used for a long time. = It adds style and elegance to your home.,coffee table; middle; side; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Center Table Chess Stand Black - Side Table Living Room Home Decoration Coffee Table,126,black,Round,Metal,35x35x56,"It is ergonomic design, light weight, no sharp corners and edges.
It can be used for many years without any problems.
When you obtain our product and examine it closely, you will notice the quality and care.
The size of the product is 35x35x56 cm.",,735,735,771,,771,824,811,860,14,It is made of quality material. = It will not deform. = You can get it as a gift to your loved ones.,middle; side; coffee table; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Center Table Chess Stand White - Side Table Living Room Home Decoration Coffee Table,"127,128",white,Round,Metal,30x30x58,"It is ergonomic design, light weight, no sharp corners and edges.
It can be used for many years without any problems.
When you obtain our product and examine it closely, you will notice the quality and care.
The size of the product is 30x30x58 cm.",,727,727,759,,759,804,793,840,11,Made of solid metal. = The model is specially designed. = You can use it anywhere in your home.,side; coffee table; middle; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Side Table Handmade Geometric Hexagon Solid Wood Center Table Walnut - Living Room Home Decoration Coffee Table,"11,8,26,41,4",dark brown,Hexagon,Wood,40x40x40,"Hexagonal small size side table: 40x40x40 cm. 
Hexagonal medium size side table: 40x40x50 cm. 
Side tables are completely made of linden wood.
It is created by gluing many linden trees together on the side tables. 
Each tree combined with the laminated method has its own unique pattern and color tone. 
The product can only be wiped with a damp cloth moistened with water for cleaning. 
Any surface cleaner and chemical substance should not come into contact with its surface.",,219,219,253,,253,305,294,342,13,It is a specially designed coffee table. = It can be used for a long time. = It adds style and elegance to your home.,tree; coffee table; middle; side; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Side Table Handmade Geometric Hexagon Solid Wood Center Table Walnut - Living Room Home Decoration Coffee Table,"11,8,24,41,3",dark brown,Hexagon,Wood,40x40x50,"Hexagonal small size side table: 40x40x40 cm. 
Hexagonal medium size side table: 40x40x50 cm. 
Side tables are completely made of linden wood.
It is created by gluing many linden trees together on the side tables. 
Each tree combined with the laminated method has its own unique pattern and color tone. 
The product can only be wiped with a damp cloth moistened with water for cleaning. 
Any surface cleaner and chemical substance should not come into contact with its surface.",,247,247,286,,286,345,334,384,16,It is made of quality material. = It will not deform. = You can get it as a gift to your loved ones.,middle; side; coffee table; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Side Table Handmade Geometric Hexagon Rustic Center Table Natural - Living Room Home Decoration Coffee Table,"47,42,52,61,1",light brown,Hexagon,Wood,40x40x40,"Hexagonal small size side table: 40x40x40 cm. 
Hexagonal medium size side table: 40x40x50 cm. 
Side tables are completely made of linden wood.
It is created by gluing many linden trees together on the side tables. 
Each tree combined with the laminated method has its own unique pattern and color tone. 
The product can only be wiped with a damp cloth moistened with water for cleaning. 
Any surface cleaner and chemical substance should not come into contact with its surface.",,219,219,253,,253,305,294,342,13,Made of solid metal. = The model is specially designed. = You can use it anywhere in your home.,side; coffee table; middle; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Side Table Handmade Geometric Hexagon Rustic Center Table Natural - Living Room Home Decoration Coffee Table,"47,42,48,61,2",light brown,Hexagon,Wood,40x40x50,"Hexagonal small size side table: 40x40x40 cm. 
Hexagonal medium size side table: 40x40x50 cm. 
Side tables are completely made of linden wood.
It is created by gluing many linden trees together on the side tables. 
Each tree combined with the laminated method has its own unique pattern and color tone. 
The product can only be wiped with a damp cloth moistened with water for cleaning. 
Any surface cleaner and chemical substance should not come into contact with its surface.",,247,247,286,,286,345,334,384,16,It is a specially designed coffee table. = It can be used for a long time. = It adds style and elegance to your home.,coffee table; middle; side; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Center Table Side Table - Chestnut Natural Handmade Farmhouse Living Room Home Decoration,108,light brown,Round,Wood,30x30x40,"The small size side table: 30x30x40 cm.
The medium size side table: 35x35x50 cm.
Side tables are completely made of linden wood.
It is created by gluing many linden trees together on the side tables.
Each tree combined with the laminated method has its own unique pattern and color tone.
The product can only be wiped with a damp cloth moistened with water for cleaning.
Any surface cleaner and chemical substance should not come into contact with its surface.",,241,241,270,,270,313,302,331,7,It is made of quality material. = It will not deform. = You can get it as a gift to your loved ones.,middle; side; coffee table; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Center Table Side Table - Chestnut Natural Handmade Farmhouse Living Room Home Decoration,109,light brown,Round,Wood,35x35x50,"The small size side table: 30x30x40 cm.
The medium size side table: 35x35x50 cm.
Side tables are completely made of linden wood.
It is created by gluing many linden trees together on the side tables.
Each tree combined with the laminated method has its own unique pattern and color tone.
The product can only be wiped with a damp cloth moistened with water for cleaning.
Any surface cleaner and chemical substance should not come into contact with its surface.",,251,251,285,,285,337,326,373,12,Made of solid metal. = The model is specially designed. = You can use it anywhere in your home.,side; coffee table; middle; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
Coffee Table Space Handmade - Walnut - Linden Tree Circle Side Table - Center Table Living Room Home Decoration,120,dark brown,Round,Wood,40x40x50,"The size of the space center side table is 40x40x50 cm.
Side tables are completely made of linden wood.
It is created by gluing together many Linden trees on the side tables.
Each tree combined with the laminated method has its own unique pattern and color tone.
The product can only be wiped with a damp cloth moistened with water for cleaning.
Any surface cleaner and chemical substance should not come into contact with its surface.",,291,291,330,,330,389,378,428,16,It is a specially designed coffee table. = It can be used for a long time. = It adds style and elegance to your home.,coffee table; middle; side; room; house; home; wood; Metal; woman; male; design; shopping; modern; bronze; black; white; nest; walnut; natural; center; round; rectangle,eWorldPartner,2850921031,4975824051,9757394011,,,6538242051,5341894051,6646934011,coffee-tables,2808733031,2818721031,2822924031,20853025031,16474337031,343493011,27157085031,20650250031,"home decoration,coffee table"
